Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-10-31 13:30:00+00:00,273.0,277.32000732421875,272.3999938964844,276.989990234375,6514494
2025-10-31 13:35:00+00:00,270.0299987792969,273.30999755859375,269.1600036621094,272.9750061035156,2427076
2025-10-31 13:40:00+00:00,270.7049865722656,271.0799865722656,269.17999267578125,270.03289794921875,1557009
2025-10-31 13:45:00+00:00,271.989990234375,272.0599060058594,269.7699890136719,270.7200012207031,1369451
2025-10-31 13:50:00+00:00,271.2799987792969,272.05999755859375,270.79998779296875,272.0201110839844,896034
2025-10-31 13:55:00+00:00,270.43701171875,271.32000732421875,270.07000732421875,271.29998779296875,662189
2025-10-31 14:00:00+00:00,269.9049987792969,270.5799865722656,269.7900085449219,270.43499755859375,687014
2025-10-31 14:05:00+00:00,270.26361083984375,270.7099914550781,269.8599853515625,269.9049987792969,580125
2025-10-31 14:10:00+00:00,269.35009765625,270.2799987792969,269.29998779296875,270.260009765625,922987
2025-10-31 14:15:00+00:00,269.9700012207031,270.27899169921875,269.1600036621094,269.4100036621094,611971
2025-10-31 14:20:00+00:00,270.4444885253906,270.639892578125,269.6700134277344,270.0299987792969,599084
2025-10-31 14:25:00+00:00,270.3800048828125,270.6099853515625,270.2699890136719,270.4599914550781,400744
2025-10-31 14:30:00+00:00,270.57000732421875,270.7900085449219,270.10009765625,270.42999267578125,434915
2025-10-31 14:35:00+00:00,271.0823059082031,271.2300109863281,270.3500061035156,270.5799865722656,506258
2025-10-31 14:40:00+00:00,270.7130126953125,271.5599060058594,270.5199890136719,271.1050109863281,623853
2025-10-31 14:45:00+00:00,270.7900085449219,271.0,270.5801086425781,270.7099914550781,378357
2025-10-31 14:50:00+00:00,270.5,270.93951416015625,270.4200134277344,270.7900085449219,327768
2025-10-31 14:55:00+00:00,270.5899963378906,270.79998779296875,270.2799987792969,270.5249938964844,319863
2025-10-31 15:00:00+00:00,270.9100036621094,271.04998779296875,270.3999938964844,270.625,330463
2025-10-31 15:05:00+00:00,271.1369934082031,271.17999267578125,270.4800109863281,270.9200134277344,389901
2025-10-31 15:10:00+00:00,270.9403076171875,271.2200012207031,270.6499938964844,271.125,320451
2025-10-31 15:15:00+00:00,271.260009765625,271.3500061035156,270.8699951171875,270.92498779296875,296761
2025-10-31 15:20:00+00:00,271.34320068359375,271.3800048828125,270.7427978515625,271.29998779296875,328496
2025-10-31 15:25:00+00:00,271.29998779296875,271.5199890136719,271.1499938964844,271.3699951171875,337980
2025-10-31 15:30:00+00:00,271.1499938964844,271.364990234375,270.8739929199219,271.2998962402344,350952
2025-10-31 15:35:00+00:00,270.3999938964844,271.1455078125,270.2200012207031,271.1400146484375,372240
2025-10-31 15:40:00+00:00,271.0199890136719,271.07000732421875,270.28009033203125,270.4100036621094,347321
2025-10-31 15:45:00+00:00,270.68499755859375,271.25,270.5899963378906,271.0199890136719,342841
2025-10-31 15:50:00+00:00,271.0400085449219,271.1499938964844,270.6000061035156,270.7099914550781,294946
2025-10-31 15:55:00+00:00,271.4599914550781,271.5400085449219,270.92999267578125,271.0249938964844,282641
2025-10-31 16:00:00+00:00,271.1448059082031,271.5,270.739990234375,271.44000244140625,336164
2025-10-31 16:05:00+00:00,271.1300048828125,271.760009765625,271.1059875488281,271.1499938964844,332377
2025-10-31 16:10:00+00:00,271.5205078125,271.6000061035156,271.0,271.1499938964844,246119
2025-10-31 16:15:00+00:00,271.4800109863281,272.05999755859375,271.4100036621094,271.5307922363281,575227
